Ref.Sig.R2	Ref.Sig.R4	Ref.Sig.R6a	Ref.Sig.R1	Ref.Sig.R7	Ref.Sig.R5	Ref.Sig.R6b	Ref.Sig.R8	Ref.Sig.R3	Ref.Sig.R9	Ref.Sig.R10	Ref.Sig.R11	Ref.Sig.R12	Ref.Sig.R13	Ref.Sig.R14	Ref.Sig.R15	Ref.Sig.R16	Ref.Sig.R17	Ref.Sig.R18	Ref.Sig.R19	Ref.Sig.R20	unassigned
2554_fuzzy_called_somatic	76.6473988538817	0	0	33.408825241591	0	0	0	0	19.9181903391753	136.52697916607	0	0	0	0	0	0	0	0	0	0	0	13.4986063992826
2570_fuzzy_called_somatic	51.4988096121423	19.6322721733483	0	0	0	0	33.9129759973154	0	18.2469133217639	142.969070138422	0	0	0	0	0	0	0	0	0	0	59.5655496265674	15.1744091304407
2596_fuzzy_called_somatic	53.7557361955676	0	0	0	0	0	0	0	30.3611276055065	150.071504718309	0	0	0	0	0	0	0	18.6485110133991	0	0	0	15.1631204672173
2600_fuzzy_called_somatic	72.8643135179332	0	0	0	0	0	0	0	25.2450628942657	155.890623767463	0	0	0	0	0	0	0	0	0	0	0	-1.79661924448737e-07
2624_fuzzy_called_somatic	22.5349254695991	78.3338379779645	0	0	0	0	82.3728117670602	0	0	147.744420967461	0	0	0	0	0	0	0	0	0	0	49.3658987933429	19.6481050245725
2629_fuzzy_called_somatic	64.8871014063023	0	0	0	0	0	0	0	21.1916768350856	149.134017097268	0	0	0	0	0	0	0	0	0	0	0	2.78720466134416
2656_fuzzy_called_somatic	108.838692502375	0	0	0	0	0	0	0	15.8110337660653	138.906091522206	0	0	0	0	0	0	0	0	0	0	0	2.44418220935358
2659_fuzzy_called_somatic	39.1945502940463	0	0	14.388464915968	0	0	12.7688682697005	0	18.9635945447757	146.644220706406	0	14.0260618201282	0	0	0	0	0	0	0	0	0	9.01423944897502
2665_fuzzy_called_somatic	36.8447957129823	0	0	0	0	0	0	0	13.9880217535521	116.167182213591	0	0	0	0	0	0	0	0	0	0	0	3.19874345677817e-07
2666_fuzzy_called_somatic	33.1192462067411	0	0	0	0	0	0	0	14.8153324281942	125.194150575088	0	0	0	0	0	0	0	0	0	0	0	9.87127078997648
2668_fuzzy_called_somatic	69.7422310290867	0	0	0	0	0	0	0	0	128.306574472903	0	0	0	0	0	0	0	0	0	0	0	13.95119449801
2677_fuzzy_called_somatic	152.329416743031	0	0	0	0	0	0	0	21.733155039164	142.995617429621	0	0	0	0	0	0	0	0	0	0	0	32.9418107881837
2680_fuzzy_called_somatic	52.026212927599	0	0	0	0	0	0	0	0	153.306243363351	0	0	0	0	0	0	0	0	0	0	0	12.6675437090499
2681_fuzzy_called_somatic	90.4242688002927	0	0	0	25.0612475391878	61.7269722577749	0	0	27.1555274185789	105.076608954679	0	0	0	0	0	0	0	0	0	0	0	6.55537502948704
2683_fuzzy_called_somatic	31.0298066683843	0	0	0	64.8695018780857	0	0	0	34.4948417450284	134.567756424608	0	0	0	0	0	0	0	0	0	0	16.0380926431864	6.40707526144979e-07
2684_fuzzy_called_somatic	81.3007451636217	0	0	0	0	0	0	0	27.5161374383284	135.210201114302	0	0	0	0	0	0	0	0	0	0	0	4.97291628374816
2691_fuzzy_called_somatic	51.3279282943784	0	0	0	0	0	0	0	0	134.922815369754	0	0	0	0	0	0	0	0	0	0	0	7.74925633586724
2695_fuzzy_called_somatic	31.2345217058679	0	0	18.6212293160284	0	0	0	0	13.8256557852834	118.280449249831	0	0	0	0	0	0	0	0	0	0	0	1.038143942989
